	CONCEPT	CORRECT	GLOSS	FORM	PROBLEMS	SOURCE
112	FELT	F	fur	kàsti	Derksen: to dig, rake	Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
113	BITE	T	to bite	ką́sti	-	The Intercontinental Dictionary Series. ids.clld.org
114	CAT	T	cat	katė	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
115	BONE	T	bone	káulas	-	The Intercontinental Dictionary Series. ids.clld.org
116	GRAPE	T	grape	kekė	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
117	PATH OR ROAD	T	road/path	kẽlias	-	The Intercontinental Dictionary Series. ids.clld.org
118	KNEE	T	knee	kẽlis	-	Blažek,  Václav. Albanian Swadesh Etymology.
119	LIVER	T	liver	kẽpenys	-	The Intercontinental Dictionary Series. ids.clld.org
124	FELT (shell)	F	fur	kiauklas	 Kroonen,DiaCL: shell	Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
125	LEATHER	F	leather	kiauklas	same take out	Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
121	PIG	F	pig	kiaulė	"Buck: sow (= a female pig). for swine, pig,
 boar and borrow there're different words"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
122	EGG	T	egg	kiaušìnis	-	The Intercontinental Dictionary Series. ids.clld.org
123	FELT (shell)	F	fur	kiáutas	"I confirmed the mapping, while it's wrong in fact
Kroonen, DiaCL: shell. Rind"	Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
126	ALL	T	all (of a number)	kiekvíenas	-	The Intercontinental Dictionary Series. ids.clld.org
127	SICKLE	F	sickle	kir̃pti	"DiaCL: to cut with shears. Couldn't find the
word in Buck or Kroonen"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
128	AXE	T	axe	kirvis	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
129	FOOT	T	foot (not leg)	kója	-	The Intercontinental Dictionary Series. ids.clld.org
130	BEESWAX	F	wax (bees)	korỹs	Michiel de Vaan, DiaCL: honeycomb	Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
131	RAVEN	T	raven	kovarnis	-	Turner,  Ralph L. (1973[1966]). A comparative dictionary of the Indo-aryan languages. 2. impr. London: Oxford U.P.;Novog Libera i Srca (2015). Hrvatski jezični portal [online]. http://www.srce.unizg.hr/arhiva_weba/20141029/www.srce.unizg.hr/gradani/hrvatski-jezicni-portal/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
132	RAVEN	T	raven	kranklys	 no in Michiel de Vaan. DiaCL: yes	Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
133	BLOOD	T	blood (n)	kraũjas	-	The Intercontinental Dictionary Series. ids.clld.org
134	MEAT (blood)	F	meat	kraũjas	SAME WORD take out	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
135	BREAST	T	breast	krūtìs	-	The Intercontinental Dictionary Series. ids.clld.org
136	PIG	F	pig	kuilys	"Confirmed the mapping, but it's wrong

Buck: boar"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
137	WOOD (stick?)	F	wood	kuoka	"didn't find it in Buck. In another 
English-Lithuaning dictionary by Bronius 
Piesarskas, Bronius Svecevicius it means 
bludgeon"	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
138	SPEAR	F	spear	kuõlas	Derksen: stake	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
139	WHEAT	T	wheat	kviečiei	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
140	BOW	F	bow	lañkas	Derksen: shaft-bow, hoop, bow	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
141	LEAF	T	leaf (botanics)	lãpas	-	The Intercontinental Dictionary Series. ids.clld.org
143	FLY (MOVE THROUGH AIR)	T	to fly	lẽ̇kti	-	The Intercontinental Dictionary Series. ids.clld.org
144	LION	T	lion	lẽvas	-	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
145	SCYTHE	F	scythe	liáuti	Beekes: to stop	Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
146	RAIN (PRECIPITATION)	T	rain (n)	lietùs	-	The Intercontinental Dictionary Series. ids.clld.org
147	TONGUE	T	tongue (anatomical)	liežùvis	-	The Intercontinental Dictionary Series. ids.clld.org
148	LINEN	T	flax	linaĩ	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
149	LINEN	T	flax	lìnas	-	Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
151	BEAR	T	bear	lokys	-	Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
152	SPADE		spade	lópeta		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
153	CALF		calf	lúopas, lúobas		Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
154	???		lynx	lūšis		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Hrach K. Martirosyan. Etymological Dictionary of the Armenian Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Simpson,  J.,  & Weiner,  E. S. 1989. Oxford English dictionary. Oxford: Clarendon Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
155	SHEEP		sheep	maĩšas		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
156	SEE		to see	matýti		The Intercontinental Dictionary Series. ids.clld.org
157	SMALL		small	mãžas		The Intercontinental Dictionary Series. ids.clld.org
158	TREE		tree	mẽdis		The Intercontinental Dictionary Series. ids.clld.org
159	WOOD		wood	mẽdis		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
160	MEAD		mead	medus		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
161	WOOD		wood	mẽdžias		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
162	KID		kid	meñkas		Matasović,  Ranko. Etymological Dictionary of Proto-Celtic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/proto-celtic/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
163	MOON		moon	mé̇nuo; mėnùlis		The Intercontinental Dictionary Series. ids.clld.org
164	WE		we (1pl)	mēs		The Intercontinental Dictionary Series. ids.clld.org
165	FLESH OR MEAT		meat/flesh	mėsà, mensà		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
166	MEAT		meat	mėsà, mensà		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
167	MEAD		mead	midus		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
168	SLEEP		to sleep	miegóti		The Intercontinental Dictionary Series. ids.clld.org
169	BARLEY		barley	miežiai		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
170	DIE		to die	mir̃ti; numìręs; mirtìs		The Intercontinental Dictionary Series. ids.clld.org
171	WOMAN		woman	móteris, moterìškė		The Intercontinental Dictionary Series. ids.clld.org
172	FINGERNAIL		fingernail	nãgas		The Intercontinental Dictionary Series. ids.clld.org
173	NIGHT		night	naktìs		The Intercontinental Dictionary Series. ids.clld.org
174	CATTLE		cattle	naudà		Hellquist,  Elof (1948). Svensk etymologisk ordbok. 3. uppl. Lund: Gleerup;De Vries,  Jan (1977). Altnordisches etymologisches Wörterbuch. 3rd ed. Leiden: Brill;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
175	NEW		new	naũjas		The Intercontinental Dictionary Series. ids.clld.org
176	NOT		not	ne		The Intercontinental Dictionary Series. ids.clld.org
177	WHEAT		wheat	niekóti		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Matasović,  Ranko. Etymological Dictionary of Proto-Celtic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/proto-celtic/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
178	NOSE		nose	nósis		The Intercontinental Dictionary Series. ids.clld.org
179	SPIN		to spin (thread)	nýtis		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
180	APPLE		apple	obuolỹs		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
181	LEATHER		leather	oda		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
182	SKIN (HUMAN)		skin (person's)	oda		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
183	LEATHER		leather	oženà		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
184	GOAT		goat	ožka		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
185	GOAT		goat	ožys		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
186	PIG		pig	par̃šas		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
187	PIG		pig	paršelis		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
188	PIG		pig	paršienà		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
189	BIRD		bird	paũkštis		The Intercontinental Dictionary Series. ids.clld.org
190	SPRING (OF WATER)		spring	pavãsaris		Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
191	KNIFE		knife	peilis		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Michiel de Vaan. Etymological Dictionary of Latin and the other Italic Languages. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
192	CATTLE		cattle	pẽkus		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Hrach K. Martirosyan. Etymological Dictionary of the Armenian Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Pokorny,  Julius. 1959. Indogermanisches etymologisches Wörterbuch. Bern- München: Francke Verlag.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
193	WOOL		wool	pẽkus		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Hrach K. Martirosyan. Etymological Dictionary of the Armenian Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Pokorny,  Julius. 1959. Indogermanisches etymologisches Wörterbuch. Bern- München: Francke Verlag.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
194	ASH		ash(es)	pelenaĩ		The Intercontinental Dictionary Series. ids.clld.org
195	SAW		saw	pelyti		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Simpson,  J.,  & Weiner,  E. S. 1989. Oxford English dictionary. Oxford: Clarendon Press.;Vasmer,  Max. 1952-58. Vasmer,  M. (1958). Russisches etymologisches Wörterbuch (4 Volumes). Heidelberg: C. Winter.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
196	WOOL		wool	pešù		Guus Kroonen. Etymological Dictionary of Proto-Germanic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Hrach K. Martirosyan. Etymological Dictionary of the Armenian Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
197	SPADE		spade	petỹs		Pokorny,  Julius. 1959. Indogermanisches etymologisches Wörterbuch. Bern- München: Francke Verlag.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
198	SICKLE		sickle	piautuvas		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
199	SAW		saw	pielà		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Buck,  C.,  D. (1949). A dictionary of selected synonyms in the principal Indo–European languages: a contribution to the history of ideas. Chicago: University of Chicago Press.;Simpson,  J.,  & Weiner,  E. S. 1989. Oxford English dictionary. Oxford: Clarendon Press.;Vasmer,  Max. 1952-58. Vasmer,  M. (1958). Russisches etymologisches Wörterbuch (4 Volumes). Heidelberg: C. Winter.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
200	DRAW MILK		milk	pienas		Robert Beekes (with the assistance of Lucien van Beek). Etymological Dictionary of Greek. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Karulis,  Konstantīns (2001). Latviešu etimoloǧijas vārdnīca. Rīgā: Avots;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
201	???		hub	piestà		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
202	???		hub	piẽstas		Rick Derksen. Etymological Dictionary of the Slavic Inherited Lexicon. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online.;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
203	GRAIN		grain (generic)	piẽtūs		Matasović,  Ranko. Etymological Dictionary of Proto-Celtic. Indo-European Etymological Dictionaries Online. Edited by Alexander Lubotsky. Brill. Brill Online: http://iedo.brillonline.nl.ludwig.lub.lu.se/dictionaries/content/proto-celtic/index.html;Robert Farren,  PIE culture words collection,  2017,     note  Proto-Indo-European culture data compiled by Robert Farren,  migrated to the database.
204	FULL		full	pìlnas		The Intercontinental Dictionary Series. ids.clld.org
205	BELLY OR STOMACH		belly (abdomen, stomach)	pil̃vas		The Intercontinental Dictionary Series. ids.clld.org
